id,name,gender,yearOfBirth,url,longitude,latitude
6303,"Beckley, Bill",Male,1946,http://www.tate.org.uk/art/artists/bill-beckley-6303,-78.8295,42.7159
720,"Beckmann, Max",Male,1884,http://www.tate.org.uk/art/artists/max-beckmann-720,12.3731,51.3397
30,"Beechey, Sir William",Male,1753,http://www.tate.org.uk/art/artists/sir-william-beechey-30,-1.63679,51.8071
721,"Beer, Richard",Male,1928,http://www.tate.org.uk/art/artists/richard-beer-721,-0.127758,51.5074
722,"Beerbohm, Sir Max",Male,1872,http://www.tate.org.uk/art/artists/sir-max-beerbohm-722,-0.127758,51.5074
723,"Beeton, Alan",Male,1880,http://www.tate.org.uk/art/artists/alan-beeton-723,-0.176203,51.5557
724,"Beggs, Guy",Male,1947,http://www.tate.org.uk/art/artists/guy-beggs-724,31.0218,-29.8587
31,"Behnes, William",Male,1795,http://www.tate.org.uk/art/artists/william-behnes-31,-0.127758,51.5074
725,"Belcher, George",Male,1875,http://www.tate.org.uk/art/artists/george-belcher-725,-0.0936496,51.4309
11822,"Belhaj-Kacem, Mehdi",Male,1973,http://www.tate.org.uk/art/artists/mehdi-belhaj-kacem-11822,2.35222,48.8566
726,"Bell, Graham",Male,1910,http://www.tate.org.uk/art/artists/graham-bell-726,22.9375,-30.5595
32,"Bell, John Zephaniah",Male,1794,http://www.tate.org.uk/art/artists/john-zephaniah-bell-32,-2.97072,56.462
727,"Bell, Larry",Male,1939,http://www.tate.org.uk/art/artists/larry-bell-727,-87.6298,41.8781
728,"Bell, Laura Anning",Female,1867,http://www.tate.org.uk/art/artists/laura-anning-bell-728,2.21375,46.2276
729,"Bell, Robert Anning",Male,1863,http://www.tate.org.uk/art/artists/robert-anning-bell-729,-0.127758,51.5074
730,"Bell, Trevor",Male,1930,http://www.tate.org.uk/art/artists/trevor-bell-730,-1.54908,53.8008
731,"Bell, Vanessa",Female,1879,http://www.tate.org.uk/art/artists/vanessa-bell-731,-0.193279,51.501
732,"Bellany, John",Male,1942,http://www.tate.org.uk/art/artists/john-bellany-732,-2.94552,55.9703
733,"Bellegarde, Claude",Male,1927,http://www.tate.org.uk/art/artists/claude-bellegarde-733,2.35222,48.8566
735,"Bellingham-Smith, Elinor",Female,1906,http://www.tate.org.uk/art/artists/elinor-bellingham-smith-735,-0.127758,51.5074
736,"Bellmer, Hans",Male,1902,http://www.tate.org.uk/art/artists/hans-bellmer-736,19.0238,50.2649
7290,"Benglis, Lynda",Female,1941,http://www.tate.org.uk/art/artists/lynda-benglis-7290,-91.9623,30.9843
737,"Benjamin, Anthony",Male,1931,http://www.tate.org.uk/art/artists/anthony-benjamin-737,-1.21684,51.0895
738,"Benois, Alexander",Male,1870,http://www.tate.org.uk/art/artists/alexander-benois-738,30.3351,59.9343
739,"Benois, Nadia",Female,1896,http://www.tate.org.uk/art/artists/nadia-benois-739,30.3351,59.9343
2240,"Benrath, Fr�d�ric",Male,1930,http://www.tate.org.uk/art/artists/frederic-benrath-2240,2.1601,48.8964
740,"Benson, Abraham Harris",Male,1878,http://www.tate.org.uk/art/artists/abraham-harris-benson-740,-0.127758,51.5074
741,"B�raud, Jean",Male,1849,http://www.tate.org.uk/art/artists/jean-beraud-741,30.3351,59.9343
742,"Berber, Mersad",Male,1940,http://www.tate.org.uk/art/artists/mersad-berber-742,16.3644,44.5503
743,"Berg, Adrian",Male,1929,http://www.tate.org.uk/art/artists/adrian-berg-743,-0.127758,51.5074
744,"Berman, Eug��ne",Male,1899,http://www.tate.org.uk/art/artists/eugene-berman-744,30.3351,59.9343
745,"Bernik, Janez",Male,1933,http://www.tate.org.uk/art/artists/janez-bernik-745,14.9955,46.1512
2234,"Berthot, Jake",Male,1939,http://www.tate.org.uk/art/artists/jake-berthot-2234,-79.0377,43.0962
747,"Beuys, Joseph",Male,1921,http://www.tate.org.uk/art/artists/joseph-beuys-747,6.58534,51.3388
748,"Bevan, Robert",Male,1865,http://www.tate.org.uk/art/artists/robert-bevan-748,-0.168749,50.8279
2371,"Bevan, Tony",Male,1951,http://www.tate.org.uk/art/artists/tony-bevan-2371,-1.7594,53.796
35,"Bewick, Thomas",Male,1753,http://www.tate.org.uk/art/artists/thomas-bewick-35,-1.17432,52.3555
5469,"Bhimji, Zarina",Female,1963,http://www.tate.org.uk/art/artists/zarina-bhimji-5469,30.6583,-0.613333
749,"Bic�t, Andr�",Male,1909,http://www.tate.org.uk/art/artists/andre-bicat-749,0.475776,51.7668
2296,"Bickerton, Ashley",Male,1959,http://www.tate.org.uk/art/artists/ashley-bickerton-2296,-59.5432,13.1939
750,"Biederman, Charles",Male,1906,http://www.tate.org.uk/art/artists/charles-biederman-750,-81.6944,41.4993
15999,"Biermann, Aenne",Female,1893,http://www.tate.org.uk/art/artists/aenne-biermann-15999,6.15655,51.68
1658,"Bigge, John",Male,1892,http://www.tate.org.uk/art/artists/john-bigge-sir-john-amherst-selby-bigge-bt-1658,-1.25773,51.752
12110,"Bill, Simon",Male,1958,http://www.tate.org.uk/art/artists/simon-bill-12110,-0.300689,51.4123
2749,"Billingham, Richard",Male,1970,http://www.tate.org.uk/art/artists/richard-billingham-2749,-1.8904,52.4862
751,"Binning, Bertram",Male,1909,http://www.tate.org.uk/art/artists/bertram-binning-751,-116.577,53.9333
752,"Bionda, Mario",Male,1913,http://www.tate.org.uk/art/artists/mario-bionda-752,7.68686,45.0703
753,"Birch, Samuel John Lamorna",Male,1869,http://www.tate.org.uk/art/artists/samuel-john-lamorna-birch-753,-3.52893,54.481
36,"Bird, Edward",Male,1762,http://www.tate.org.uk/art/artists/edward-bird-36,-2.12882,52.587
754,"Bird, John",Male,1945,http://www.tate.org.uk/art/artists/john-bird-754,-1.12846,53.5228
755,"Bishop, Henry",Male,1868,http://www.tate.org.uk/art/artists/henry-bishop-755,-0.127758,51.5074
756,"Bissier, Julius",Male,1893,http://www.tate.org.uk/art/artists/julius-bissier-756,7.8421,47.999
